Channel,p_spike_1.0_count,p_spike_1.0_times,p_poly_1.0_count,p_poly_1.0_times,p_sw_1.0_count,p_sw_1.0_times
RA1-RA2,66,"[64.3, 118.57, 132.385, 298.695, 346.53, 354.975, 357.65, 641.865, 676.0699999999999, 769.28, 812.365, 829.565, 833.67, 1003.01, 1013.015, 1038.2, 1044.97, 1070.88, 1123.905, 1140.845, 1215.045, 1270.97, 1351.24, 1492.565, 1704.015, 1959.695, 1976.19, 2086.84, 2150.805, 2258.805, 2277.775, 2619.2, 2704.71, 2756.15, 2853.6, 2965.03, 2973.675, 3122.07, 3344.53, 3489.715, 3577.965, 3733.92, 3793.275, 3914.15, 4027.89, 4070.45, 4106.14, 4163.785, 4201.48, 4296.26, 4319.415, 4477.145, 4481.505, 4545.12, 4626.72, 4848.935, 5011.67, 5209.0, 5222.925, 5374.325, 5467.47, 5486.78, 5741.11, 5815.675, 5840.735, 6110.825]",11,"[361.65, 429.855, 539.5550000000001, 1042.705, 1143.765, 2403.79, 3610.82, 3964.405, 5362.7, 5514.395, 6081.59]",86,"[55.315, 121.8, 125.655, 136.44, 203.8, 230.35, 237.475, 438.95, 440.55, 509.02, 526.4300000000001, 577.5550000000001, 583.385, 603.525, 657.22, 695.95, 699.1800000000001, 711.48, 735.435, 752.77, 754.27, 823.72, 837.085, 855.645, 979.88, 1014.36, 1116.695, 1185.54, 1219.52, 1312.685, 1365.77, 1406.75, 1653.41, 1655.6, 1660.245, 1791.405, 1869.075, 2021.44, 2024.95, 2029.615, 2031.99, 2043.185, 2146.62, 2201.57, 2359.92, 2364.225, 2430.95, 2435.175, 2554.96, 2571.43, 2595.985, 2695.17, 2772.745, 2797.28, 2941.985, 2954.77, 3098.675, 3371.575, 3457.805, 3589.535, 3654.045, 3725.21, 3890.635, 4158.025, 4186.83, 4215.405, 4270.005, 4370.395, 4464.36, 4489.295, 4666.645, 4714.915, 4911.65, 5007.205, 5013.76, 5035.755, 5084.1, 5103.84, 5236.71, 5515.76, 5648.29, 5755.97, 5922.26, 5982.56, 5984.95, 6114.12]"
RA10-RA11,25,"[5.355, 60.195, 96.27, 143.155, 243.785, 400.28, 610.06, 741.29, 854.895, 1181.99, 1697.77, 2005.89, 2023.785, 2742.54, 2779.535, 2899.15, 2923.52, 2998.475, 3039.35, 3052.255, 3779.38, 5061.065, 5410.245, 6070.87, 6091.405]",4,"[1492.7, 2456.125, 6106.975, 6169.945]",20,"[363.18, 783.38, 787.8975625, 858.285, 1612.5, 1735.355, 1855.42, 1868.93, 2089.43, 2491.51865625, 2822.265, 2835.28, 3706.04, 3754.825, 4815.23, 5028.15, 5576.205, 5807.705, 5917.06, 5919.29]"
RA11-RA12,45,"[45.96, 119.115, 133.35, 429.96, 522.265, 525.505, 591.105, 640.11, 647.01, 660.12, 741.3050000000001, 822.985, 1003.01, 1255.05, 1336.62, 1361.475, 1454.625, 1456.65, 1698.025, 1711.805, 1820.56, 1901.845, 1924.12, 2042.25, 2049.47, 2080.925, 2163.455, 2410.145, 2527.585, 2532.615, 2621.445, 2641.12, 2714.58, 2798.065, 2860.185, 3030.9835, 3296.635, 3721.89, 3769.435, 3772.93, 3779.63, 4970.89, 5743.49, 6001.445, 6004.045]",4,"[2105.55, 2923.63, 5370.47, 5895.74]",55,"[263.18, 369.675, 396.36, 546.975, 732.915, 738.29, 787.575, 854.605, 873.025, 1124.985, 1133.11, 1304.915, 1364.795, 1396.865, 1399.345, 1574.26, 1634.105, 1851.965, 1914.865, 1921.73, 1975.45, 2010.105, 2129.04, 2148.59, 2277.51, 2539.96, 2726.385, 2795.99, 2873.36, 2998.49, 3080.91, 3165.185, 3478.62, 3744.686625, 4058.425, 4412.64, 4536.525, 4787.54, 5158.625, 5227.0, 5380.92, 5576.22, 5590.755, 5592.24, 5674.55, 5726.23, 5838.385, 5845.7, 5948.745, 5994.53, 6008.695, 6029.655, 6037.425, 6077.16, 6157.37]"
RA2-RA3,55,"[222.78, 230.355, 237.465, 354.955, 497.57, 575.6600000000001, 598.38, 603.52, 606.8, 685.165, 713.81, 969.635, 1084.495, 1116.84, 1170.85, 1172.335, 1467.185, 1653.495, 1676.84, 1947.47, 2150.915, 2191.645, 2363.13, 2482.54, 2631.975, 2656.26, 2702.39, 2704.69, 2783.71, 2893.84, 2965.04, 2973.65, 3026.94, 3036.765, 3147.155, 3344.505, 3651.935, 3779.39, 3900.145, 3914.13, 4186.82, 4848.915, 5367.95, 5431.565, 5467.44, 5548.87, 5609.275, 5649.59, 5749.455, 5840.7, 5856.23, 5907.31, 5922.245, 5984.97, 6063.675]",23,"[186.185, 361.655, 924.865, 1155.5, 1182.16, 1985.44, 2527.615, 2812.875, 3793.25, 4106.15, 4130.555, 4216.635, 4229.35, 4605.175, 5362.71, 5646.44, 5687.225, 5696.88, 6000.015, 6088.16, 6111.125, 6142.965, 6145.62]",126,"[85.51, 282.915, 347.225, 351.245, 394.845, 526.42, 579.48, 641.83, 688.04, 705.29, 711.48, 735.435, 754.235, 836.38, 979.885, 1003.955, 1016.01, 1055.375, 1078.935, 1153.315, 1164.34, 1190.945, 1363.45, 1367.73, 1383.765, 1492.55, 1574.83, 1961.215, 2144.73, 2160.745, 2334.59, 2438.83, 2524.13, 2541.175, 2726.115, 2852.705, 3121.86, 3149.985, 3222.04, 3237.69, 3362.78, 3407.35, 3437.19, 3489.67, 3554.335, 3575.455, 3654.03, 3667.04, 3733.905, 3790.025, 3932.0, 3964.395, 4098.195, 4143.68, 4158.27, 4163.755, 4191.415, 4201.325, 4208.41, 4236.785, 4258.12, 4265.895, 4303.045, 4336.825, 4348.335, 4365.36, 4431.23, 4479.645, 4481.525, 4489.405, 4498.29, 4500.245, 4545.095, 4607.725, 4626.715, 4714.91, 4738.795, 4774.54, 4819.96, 4891.585, 4911.635, 4917.46, 4920.585, 4951.645, 4975.305, 5011.51, 5013.76, 5125.37, 5132.235, 5190.805, 5220.155, 5260.04, 5276.72, 5364.54, 5370.695, 5374.295, 5403.655, 5416.385, 5421.255, 5487.87, 5500.18, 5514.385, 5551.465, 5558.25, 5573.57, 5580.935, 5595.345, 5615.83, 5618.665, 5628.01, 5653.81, 5656.03, 5676.03, 5678.31, 5745.565, 5767.395, 5773.41, 5882.485, 5937.595, 5952.345, 5962.185, 5974.695, 5982.37, 6058.5, 6094.16, 6113.4]"
RA3-RA4,93,"[347.22, 356.305, 394.875, 456.325, 497.6, 514.28, 544.41, 583.385, 598.415, 687.2, 754.265, 779.4300000000001, 807.285, 823.735, 828.4449999999999, 897.11, 965.82, 1076.675, 1088.625, 1170.89, 1172.345, 1182.15, 1190.965, 1250.295, 1289.04, 1312.705, 1363.45, 1384.27, 1433.6, 1467.235, 1492.575, 1574.335, 1653.455, 1704.075, 1723.095, 1792.945, 2049.405, 2086.815, 2098.3, 2122.3, 2135.0, 2150.785, 2172.335, 2252.0, 2277.75, 2334.585, 2403.865, 2425.935, 2619.185, 2704.69, 2814.28, 2853.585, 2955.725, 2965.01, 3127.25, 3240.18, 3362.795, 3438.57, 3793.255, 3914.135, 3932.715, 3974.365, 4028.4, 4081.19, 4147.76, 4181.43, 4183.44, 4201.325, 4229.905, 4298.38, 4315.67, 4381.53, 4464.36, 4485.415, 4545.105, 4848.95, 4869.875, 4934.055, 5012.02, 5013.785, 5185.83, 5374.305, 5467.45, 5494.47, 5741.135, 5751.51, 5767.385, 5881.405, 6012.075, 6040.115, 6094.16, 6110.825, 6152.115]",12,"[833.65, 1497.42, 2160.745, 3003.62, 3667.04, 4143.675, 4368.855, 5372.84, 5416.38, 5514.385, 5646.445, 6022.085]",49,"[992.905, 1007.37, 1016.075, 1044.93, 1550.39, 1812.015, 2524.13, 2657.73, 2744.29, 2897.56, 2973.65, 3031.615, 3121.86, 3323.8, 3575.445, 3589.535, 3938.965, 3964.45, 4070.425, 4106.115, 4208.405, 4220.72, 4236.785, 4413.39, 4425.43, 4431.235, 4460.795, 4500.235, 4774.59, 4951.645, 5173.33, 5208.975, 5222.9, 5276.715, 5362.68, 5405.515, 5486.75, 5488.63, 5521.99, 5607.23, 5653.37, 5676.015, 5801.75, 5830.225, 5922.29, 6063.67, 6109.405, 6113.395, 6144.67]"
RA4-RA5,30,"[55.31, 184.595, 467.5225625, 522.11, 598.435, 779.4300000000001, 807.285, 833.665, 1007.385, 1070.885, 1169.285, 1172.325, 1190.985, 1271.005, 1365.785, 1434.135, 1653.805, 1792.945, 2049.33, 2098.31, 2150.8, 2172.225, 2277.77, 2291.56, 2527.595, 2619.2, 2656.795, 2943.45, 3003.625, 3779.38]",6,"[1574.895, 4070.435, 4163.05, 5173.335, 5208.99, 5362.7]",43,"[347.23, 517.105, 688.06, 711.125, 735.485, 1025.48, 1289.045, 1355.255, 1704.11, 2031.825, 2086.85, 2122.305, 2403.885, 2482.525, 2524.105, 2541.18, 2672.88, 2704.735, 2744.63, 2814.295, 2965.045, 2973.69, 3127.27, 3239.285, 3344.555, 3651.94, 3667.03, 3793.295, 3914.15, 3964.195, 4081.195, 4106.15, 4477.135, 5012.025, 5013.81, 5222.92, 5374.325, 5467.46, 5486.77, 5494.52, 5741.135, 5761.78, 5822.075]"
RA5-RA6,21,"[24.89, 64.3, 85.505, 203.915, 497.6, 502.345, 583.385, 812.365, 897.185, 965.82, 1025.495, 1215.045, 1363.515, 1693.175, 2086.86, 2527.58, 2562.58, 2729.915, 3733.64, 4477.12, 4848.97]",2,"[481.47, 688.045]",54,"[55.975, 132.39, 467.51865625, 513.545, 595.62, 711.13, 735.505, 788.345, 1170.855, 1172.32, 1190.97, 1194.01, 1271.565, 1354.625, 1434.135, 1492.61, 1574.88, 1639.115, 1704.12, 2031.79, 2057.72, 2122.305, 2150.785, 2291.56, 2482.525, 2565.02, 2598.895, 2619.185, 2738.83, 2814.29, 2965.06, 3003.625, 3240.55, 3344.875, 3438.57, 3577.945, 3651.935, 3793.26, 3964.195, 4070.43, 4087.615, 4106.115, 4163.035, 4545.14, 5013.79, 5125.035, 5173.335, 5208.98, 5222.9, 5362.685, 5374.305, 5486.755, 5741.135, 5843.235]"
RA6-RA7,15,"[60.135, 94.16, 96.21, 203.94, 226.4, 309.755, 347.23, 467.525, 514.205, 779.435, 892.48, 1003.035, 1070.89, 3344.955, 5564.53]",0,[],10,"[85.68, 522.115, 1289.045, 2279.475, 2565.045, 2704.73, 2973.695, 3651.945, 3964.19, 4106.155]"
RA7-RA8,19,"[44.895, 70.385, 80.935, 94.18, 104.0, 112.23, 241.8, 262.89, 704.735, 707.86, 1040.665, 1559.585, 1734.65, 1777.255, 2209.065, 2797.57, 2955.3, 3595.165, 3822.78]",1,[2465.18],24,"[23.67, 119.115, 701.4449999999999, 986.69, 1127.06, 1312.795, 1392.335, 1454.64, 1469.63, 1541.635, 1652.53, 1770.855, 1774.495, 1796.485, 1820.56, 1914.95, 1936.525, 2051.915, 2194.61, 2662.645, 2774.415, 3152.305, 4106.215, 5948.755]"
RA8-RA9,11,"[53.11, 94.165, 363.715, 855.275, 1257.425, 2058.89, 2835.37, 3755.85, 4270.84, 4714.7, 5935.575]",1,[5843.98],15,"[19.21, 119.105, 131.155, 262.875, 365.595, 798.19, 1227.13, 1658.35, 2168.815, 2615.86, 2666.17, 3165.18, 4236.155, 5128.36, 5556.705]"
RA9-RA10,6,"[60.18, 136.065, 363.695, 854.885, 2455.93, 2742.54]",1,[2065.43],3,"[32.745, 129.845, 2774.415]"
RH1-RH2,45,"[394.885, 419.655, 497.59, 517.16, 559.115, 680.785, 892.525, 966.255, 1002.955, 1025.555, 1172.33, 1191.06, 1230.9, 1355.3, 1466.665, 1519.895, 1653.435, 1909.49, 2150.86, 2277.825, 2425.945, 2619.26, 2704.775, 2965.085, 2973.735, 3036.8, 3651.925, 3779.385, 3914.215, 4070.495, 4076.94, 4106.2, 4143.98, 4163.095, 4183.47, 4229.92, 4486.24, 5209.045, 5222.97, 5362.76, 5374.375, 5467.52, 5486.825, 5496.51, 5688.575]",6,"[1296.11, 1484.455, 1561.92, 2702.445, 5668.63, 5851.27]",85,"[85.505, 104.435, 143.66, 167.105, 184.51, 215.9, 320.795, 347.235, 490.895, 513.565, 544.415, 583.4, 688.085, 818.505, 865.52, 868.735, 958.79, 992.895, 1013.96, 1030.63, 1116.725, 1270.99, 1383.895, 1424.66, 1475.785, 1497.415, 1528.995, 1539.11, 1574.29, 1704.49, 1907.13, 2049.24, 2279.355, 2291.565, 2364.39, 2404.24, 2482.59, 2495.28, 2570.285, 2797.115, 2891.37, 2897.575, 3222.98, 3240.975, 3344.89, 3362.79, 3438.58, 3554.38, 3613.165, 3733.65, 3974.395, 4114.945, 4209.105, 4260.045, 4267.735, 4313.94, 4315.65, 4370.53, 4460.925, 4545.19, 4760.64, 4765.565, 4822.31, 4849.325, 4869.915, 5173.405, 5453.865, 5495.215, 5563.81, 5615.83, 5644.16, 5646.46, 5649.505, 5650.825, 5696.915, 5713.255, 5732.87, 5741.12, 5767.41, 5896.985, 5931.91, 5933.165, 5937.62, 6031.955, 6111.21]"
RH10-RH11,40,"[708.51, 864.35, 915.7, 1057.78, 1095.73, 1115.65, 1194.475, 1199.4, 1203.065, 1260.8, 1279.77, 1331.345, 1349.24, 1375.065, 1438.615, 1443.885, 1520.09, 1527.835, 1529.59, 1579.2256875, 1619.375, 1667.69, 1764.155, 1871.315, 1889.865, 2066.69, 2438.83, 2736.635, 2757.3, 2849.935, 3296.89, 5585.675, 5604.89, 5621.99, 5671.46, 5684.965, 5701.25, 5845.33, 5856.52, 6170.375]",6,"[1306.29, 1449.33, 1574.905, 2599.06, 5623.59, 5836.615]",129,"[322.11, 363.085, 675.3199999999999, 735.965, 803.265, 834.25, 841.08, 892.14, 918.305, 928.67, 948.475, 1025.495, 1028.975, 1034.065, 1065.12, 1070.785, 1073.9, 1079.0, 1090.51, 1108.375, 1124.06, 1140.685, 1145.975, 1154.955, 1176.165, 1183.42, 1187.87, 1207.06, 1212.04, 1218.76, 1223.135, 1233.605, 1235.65, 1243.97, 1246.68, 1247.73, 1254.485, 1258.155, 1277.215, 1278.69, 1335.82, 1342.65146875, 1344.99, 1366.715, 1407.275, 1412.675, 1419.99, 1461.17, 1462.655, 1463.9, 1471.86, 1480.335, 1486.455, 1495.09, 1500.26, 1507.4, 1545.13, 1549.305, 1561.92, 1571.665, 1602.365, 1630.655, 1634.17, 1643.615, 1654.07, 1673.22, 1752.03, 1901.92, 1976.19, 1980.03, 1993.47, 1999.555, 2010.555, 2017.08, 2024.955, 2057.725, 2178.065, 2456.36, 2548.345, 2582.445, 2640.84, 2647.87, 2741.225, 2742.415, 2745.465, 2751.085, 2775.32, 2779.305, 2797.62, 3641.075, 4323.6, 4489.45, 4529.8, 4735.96, 5464.635, 5501.815, 5545.815, 5613.34, 5625.355, 5647.33, 5673.9, 5705.675, 5727.42, 5763.43, 5781.285, 5825.95, 5829.41, 5831.235, 5843.295, 5860.725, 5868.98, 5877.255, 5882.185, 5887.74, 5894.89, 5915.505, 5924.475, 5942.535, 5961.13, 5986.88, 6027.26, 6029.65, 6040.115, 6090.96, 6105.9, 6121.22, 6148.36, 6181.28, 6183.87]"
RH11-RH12,59,"[147.345, 153.9, 176.645, 486.625, 634.22, 643.695, 1030.485, 1060.095, 1422.725, 1632.915, 1930.615, 2014.32, 2121.275, 2365.57, 2397.06, 2510.925, 2589.575, 2672.825, 2727.435, 2899.08, 3038.875, 3207.82, 3214.11, 3341.0, 3342.505, 3592.375, 3659.995, 3886.695, 4004.1, 4238.34, 4359.13, 4501.615, 4529.795, 4535.49, 4619.875, 4715.955, 4719.515, 4731.3, 4805.51, 4861.395, 4869.02, 4881.875, 5063.065, 5064.995, 5128.27, 5223.81, 5229.91, 5272.995, 5277.565, 5317.75, 5711.905, 5752.27, 5763.845, 5842.69, 5925.5, 5976.97, 6063.92, 6166.295, 6176.19]",5,"[1174.74, 1829.49, 5237.435, 5858.35, 5895.87]",93,"[199.99, 327.56, 336.69, 353.615, 364.48, 518.13, 1067.165, 1321.42, 1555.6, 1602.215, 1639.135, 1714.81, 1933.815, 1976.185, 2359.615, 2426.26, 2436.38, 2508.725, 2629.135, 2655.275, 2704.365, 2741.225, 2791.66, 2851.45, 2947.085, 3001.305, 3041.355, 3105.94, 3110.795, 3126.77, 3235.395, 3477.84, 3553.435, 3631.815, 3643.08, 3735.945, 3804.465, 3817.635, 3819.06, 3821.235, 3872.44, 3936.715, 3963.72, 3970.325, 4231.655, 4280.13, 4363.485, 4365.91, 4369.16, 4388.13, 4412.33, 4503.075, 4573.99, 4617.77, 4717.005, 4763.27, 4771.875, 4782.465, 4814.03, 4854.11, 4913.7, 4969.565, 4970.84, 4992.545, 5029.235, 5100.53, 5109.055, 5114.545, 5231.58, 5287.645, 5348.01, 5353.81, 5389.655, 5439.66, 5538.215, 5549.425, 5563.12, 5604.5, 5658.72, 5689.36, 5731.5, 5736.185, 5740.985, 5798.55, 5829.235, 5845.395, 5932.88, 6010.985, 6032.235, 6055.91, 6082.01, 6107.91, 6172.49]"
RH2-RH3,26,"[282.93, 517.12, 522.735, 1215.05, 1355.3, 1539.26, 2277.81, 2364.39, 2795.915, 2814.33, 2965.07, 3020.24, 3793.315, 3914.19, 4070.48, 4163.085, 4425.44, 4486.24, 4641.595, 5209.03, 5222.95, 5374.365, 5467.5, 5486.805, 5668.625, 5842.155]",10,"[99.465, 535.61, 1025.87, 1254.42, 1363.835, 1575.275, 2252.18, 2334.785, 2482.925, 5942.54]",119,"[40.34, 64.18, 85.46, 88.45, 173.74, 198.79, 320.775, 358.86, 394.9, 419.625, 467.425, 481.4, 514.235, 574.52, 575.94, 608.435, 625.445, 687.53, 711.65, 714.385, 788.405, 892.505, 910.145, 965.79, 1003.54, 1014.06, 1045.76, 1071.085, 1169.25, 1191.045, 1198.695, 1200.15, 1250.275, 1289.51, 1310.08, 1365.485, 1372.07, 1383.875, 1424.895, 1434.38, 1466.66, 1476.36, 1492.955, 1561.92, 1654.115, 1679.41, 1698.97, 1704.165, 1812.025, 1836.835, 1882.22, 1907.135, 1909.485, 2049.7, 2086.905, 2098.29, 2135.0, 2150.83, 2172.24, 2191.28, 2225.835, 2329.145, 2346.275, 2359.86, 2744.62, 2897.575, 2899.11, 2944.045, 2956.11, 2974.04, 3003.565, 3032.18, 3036.84, 3127.62, 3136.855, 3160.06, 3199.24, 3228.2, 3371.25, 3438.555, 3651.92, 3778.53, 3963.885, 4044.975, 4081.155, 4143.69, 4181.455, 4201.385, 4209.11, 4229.91, 4267.735, 4478.405, 4760.62, 4849.26, 4869.88, 4951.675, 5014.255, 5114.275, 5121.215, 5173.385, 5258.01, 5362.73, 5373.055, 5454.77, 5494.7, 5496.515, 5514.68, 5563.81, 5646.47, 5649.505, 5650.83, 5679.79, 5696.875, 5741.11, 5775.02, 5780.72, 5897.005, 6032.23, 6081.43]"
RH3-RH4,17,"[85.465, 215.945, 535.605, 598.335, 796.67, 1014.215, 1191.38, 1194.44, 1363.98, 1372.135, 2943.45, 3734.17, 4425.5, 4870.235, 5467.96, 5556.36, 5849.165]",17,"[88.45, 218.215, 237.375, 610.6949999999999, 653.545, 656.65, 774.53, 949.825, 970.89, 1003.485, 1023.44, 1263.905, 1271.23, 1355.715, 1492.955, 2279.485, 5374.77]",123,"[53.815, 99.535, 138.33, 156.79, 173.745, 198.785, 212.86, 284.1, 326.2, 341.84, 453.155, 455.145, 467.43271875, 480.08, 481.465, 490.895, 514.24, 517.13, 522.59, 554.495, 567.9200000000001, 600.04, 612.1700000000001, 625.48, 643.69, 672.255, 687.53, 692.835, 707.205, 711.155, 714.385, 735.3199999999999, 738.87, 751.865, 759.815, 763.99, 779.45, 788.4, 807.455, 833.685, 867.225, 875.05, 884.725, 892.53, 893.625, 921.55, 925.385, 953.255, 960.385, 979.705, 1007.975, 1028.755, 1036.4, 1045.755, 1065.255, 1115.77, 1155.33, 1164.095, 1172.32, 1212.935, 1214.94, 1230.905, 1282.735, 1289.51, 1293.545, 1310.085, 1319.32, 1361.995, 1397.28, 1406.545, 1424.89, 1438.59, 1476.365, 1494.965, 1520.32, 1727.375, 2049.34, 2087.325, 2098.285, 2135.02, 2151.175, 2252.18, 2291.93, 2334.785, 2403.905, 2405.395, 2482.92, 2497.35, 2527.97, 2619.645, 2705.1, 2744.63, 2797.14, 2956.14, 2974.04, 3003.65, 3020.085, 3032.18, 3127.29, 3239.295, 3273.985, 3371.25, 3439.0, 3793.93, 3940.11, 4044.975, 4163.53, 4181.51, 4477.58, 4849.325, 4951.705, 5012.045, 5125.035, 5173.8, 5209.46, 5223.37, 5363.185, 5373.055, 5454.77, 5486.79, 5514.47, 5549.04, 6139.02]"
RH4-RH5,6,"[198.29, 1574.885, 2772.54, 3003.63, 3793.34, 5922.285]",2,"[1270.875, 2814.365]",36,"[64.18, 156.785, 467.445, 1025.565, 1355.285, 1484.51, 1550.405, 1792.94, 1882.24, 1947.47, 1976.22, 2057.72, 2122.31, 2150.83, 2252.02, 2291.565, 2425.935, 2593.525, 2705.1, 2943.45, 3651.94, 3733.94, 3964.2, 4081.2, 4163.115, 4183.45, 4315.67, 4460.845, 4690.605, 5114.56, 5649.64, 5696.92, 5713.61, 5789.365, 5909.995, 6031.95]"
